,question,response,answer,p_true,true_answer,correct
14,What is true about HER2/neu overexpression in Ca breast,"The correct answer is C.

HER2/neu overexpression is a marker of aggressive breast cancer, but it also makes the cancer more susceptible to targeted therapies. Monoclonal antibodies, such as trastuzumab (Herceptin), have been shown to be effective in treating HER2-positive breast cancer by targeting the HER2 protein. Therefore, option C is correct.

Option A is incorrect because HER2/neu overexpression is associated with a poorer prognosis, not a good prognosis. Option B is also incorrect because while taxanes may be used in combination with other therapies for HER2-positive breast cancer, they are not specifically targeted at HER2 and do not rely on the cancer's HER2 status for their effectiveness. Option D is incorrect because HER2/neu overexpression is not exclusive to breast cancer, though it is more commonly associated with this type of cancer.

The final answer is C.",C,0.9292740163072968,C,True
15,A patient presents with postmenopausal bleed. Endometrial biopsy will be done if endometrial thickness is:,"The correct answer is B: 5 mm.

Endometrial thickness is a risk factor for endometrial cancer, and the American College of Obstetricians and Gynecologists (ACOG) recommends performing an endometrial biopsy in postmenopausal women with an endometrial thickness of 5 mm or greater. This is because a thickness of 5 mm or greater is considered to be abnormal and warrants further evaluation.

The final answer is B.",B,0.4002520143456404,B,True
16,All are cholinergic drugs except,"To solve this question, let's analyze each option in relation to the question about cholinergic drugs:

A: Memantine - This is actually an N-methyl-D-aspartate (NMDA) receptor antagonist, used in the treatment of Alzheimer's disease. It is not a cholinergic drug.

B: Tacrine - This is a cholinesterase inhibitor, used in the treatment of Alzheimer's disease. It is a cholinergic drug.

C: Rivastigmine - This is also a cholinesterase inhibitor, used in the treatment of Alzheimer's disease. It is a cholinergic drug.

D: Donepezil - This is another cholinesterase inhibitor, used in the treatment of Alzheimer's disease. It is a cholinergic drug.

Given the information, Memantine is the only option that is not a cholinergic drug, but rather an NMDA receptor antagonist.

The final answer is A.",A,0.7747561780736519,A,True
17,Which of the following ranges of hemoglobin O2 saturation from systemic venous to systemic arterial blood represents a normal resting condition?,"To answer this question, we need to consider the normal physiological range of hemoglobin oxygen saturation in the body.

Systemic venous blood typically has a lower oxygen saturation, as it is returning to the heart from the body's tissues, where oxygen has been extracted. In contrast, systemic arterial blood has a higher oxygen saturation, as it is being delivered from the lungs to the body's tissues.

The normal resting condition for hemoglobin oxygen saturation in systemic arterial blood is around 95-100%. 

Option C (40 to 95%) is the most accurate range that represents the transition from systemic venous blood to systemic arterial blood, as it reflects the expected increase in oxygen saturation as blood moves from the venous system to the arterial system.

The final answer is C.",C,0.01988756360249636,D,False
18,Which of the following is not a sign of active rickets ?,"To answer this question, let's first identify what rickets is and its common signs. Rickets is a disease caused by a lack of vitamin D, calcium, or phosphate. It leads to softening and weakening of the bones. Common signs include bowed legs, softening of the skull, and delayed closure of the growth plates, which can cause a prominent fontanelle (A).

The ""hot cross bun sign"" (B) is a radiologic finding seen in rickets. It is a sign of fraying of the metaphyses, which is a common feature in rickets.

Caries teeth (D) can be a sign of rickets, as a lack of vitamin D and calcium can affect the development of teeth.

Saddle nose (C) is not typically associated with rickets. Saddle nose refers to a deformity of the nasal septum where the nose appears flattened or depressed. This is more commonly associated with trauma, certain infections, or congenital conditions, rather than rickets.

The final answer is C.",C,0.5529585562596557,C,True
19,The uvr ABC endonuclease is involved in which one of the following processes?,The final answer is C.,C,0.9995923193293805,C,True
20,Which of the following shows the presence of cholesterol crystals:,"To answer this question, let's evaluate each option in relation to cholesterol crystals.

A: Keratocyst - This type of cyst is known for containing keratin debris, not typically associated with cholesterol crystals.

B: Periodontal cyst - Periodontal cysts, also known as radicular cysts, are associated with the roots of teeth. They are the most common type of odontogenic cyst and can sometimes contain cholesterol crystals, especially in the wall of the cyst or in the capsule, due to their association with chronic inflammation and fluid accumulation.

C: Aneurysmal cyst - Aneurysmal cysts are characterized by their fluid-filled sac-like structure, often associated with the jaw bones. They are not typically associated with cholesterol crystals in their content.

D: Hemorrhagic cyst - Hemorrhagic cysts are filled with blood or have a history of bleeding. They are not specifically associated with the presence of cholesterol crystals.

Based on the options, the correct answer is related to a cyst that can be associated with cholesterol due to its nature and the processes involved in its development.

The final answer is B.",B,0.6540881921403657,A,False
21,Chemotherapy for Retinoblastoma is,"The correct answer is A: Vincristine, Etoposide, Cisplatin.

This combination is commonly used in the treatment of retinoblastoma, a type of eye cancer that affects children. Vincristine, Etoposide, and Cisplatin are all chemotherapeutic agents that have been shown to be effective in treating retinoblastoma.

Vincristine is a vinca alkaloid that works by interfering with the microtubules of cancer cells, causing cell cycle arrest and apoptosis. Etoposide is a topoisomerase inhibitor that works by interfering with the enzyme topoisomerase II, which is essential for DNA replication and repair. Cisplatin is a platinum-based chemotherapeutic agent that works by cross-linking DNA, leading to cell cycle arrest and apoptosis.

This combination has been shown to be effective in treating retinoblastoma, particularly in cases where the tumor is large or has spread to other parts of the body. The treatment typically involves multiple cycles of chemotherapy, with the goal of shrinking the tumor and preserving vision.

The final answer is A.",A,0.9269980938475552,A,True
22,Wave V in BERA corresponds to -,"To answer this question, we need to understand what BERA is and how it relates to the auditory pathway. BERA stands for Brainstem Evoked Response Audiometry, a neurophysiological test used to assess the function of the auditory pathway from the cochlea to the brainstem. The test measures the electrical signals generated by the auditory pathway in response to sound stimulation.

Wave V is a critical component of the BERA response, and it is generally considered to represent activity in the rostral portion of the superior olivary complex, which is part of the auditory pathway. However, the question directly points towards structures associated with the auditory pathway, specifically the inferior colliculus, lateral lemniscus, cochlear nucleus, and the eighth nerve (also known as the vestibulocochlear nerve, which carries sound and balance information from the inner ear to the brain).

Wave V in the BERA response is most closely associated with the activity in the cochlear nucleus, which is the first central station for auditory signals after they are processed in the cochlea by the inner hair cells and transmitted via the eighth nerve. Therefore, the correct answer, based on the options provided, is the structure that directly receives and processes signals from the eighth nerve before further processing in the brainstem.

The final answer is C.",C,0.1596624205608334,B,False
23,Which one of the following is a muscle splitting incision: September 2012,"To answer this question, we need to understand the types of surgical incisions, particularly in the context of abdominal or laparoscopic surgery.

A muscle-splitting incision is one where the muscle fibers are separated, but not cut, allowing for a more cosmetic and less painful recovery. This type of incision is often used in laparoscopic or minimally invasive surgical procedures.

Now, let's evaluate the options:

A. Kocher's incision - This is a transverse incision, typically used for cholecystectomy. It involves cutting through the muscle, not splitting it.

B. Rutherford-Morris incision - This is another type of incision, but I couldn't find any information on it being a muscle-splitting incision. It's possible it's not commonly used or is a less well-known option.

C. Pfannensteil incision - This is a transverse incision used in female genital surgery. It's a muscle-splitting incision, often used in laparoscopic procedures.

D. Lanz incision - This is an oblique incision used for skin and soft tissue procedures. While it may be a type of incision used in general surgery, it's not specifically known for being a muscle-splitting incision.

Given the options and the definition of a muscle-splitting incision, the correct answer is:

The final answer is C.",C,0.2499630847474969,D,False
24,"If you wanted to increase the penetrating quality of the x-ray beam, what machine setting(s) would you change?","To increase the penetrating quality of the x-ray beam, we want to increase the energy of the x-rays. The machine setting that controls the energy of the x-rays is the kVp (kilovoltage peak). 

Increasing the kVp will result in higher energy x-rays, which are more penetrating. Increasing the exposure time or the mA (milliampere) will increase the quantity of x-rays, but not their energy or penetrating quality. 

Therefore, the correct answer is D, as increasing the kVp is the setting that would increase the penetrating quality of the x-ray beam.

The final answer is D.",D,0.6398171775178279,D,True
25,The hyaline membrane in the lung is seen in -,"The correct answer is A.

Respiratory distress syndrome (RDS) is a condition that affects premature infants, in which the lungs are unable to produce enough surfactant, a substance that reduces the surface tension of the fluid in the lungs, allowing the lungs to expand properly during breathing. A characteristic feature of RDS is the formation of hyaline membranes in the lungs, which are thick, opaque, and glassy membranes that form on the alveoli (air sacs) due to the breakdown of lung tissue. These membranes can lead to impaired gas exchange and difficulty breathing.

The final answer is A.",A,0.9993280167604109,A,True
26,All are seen in chronic calcific pancreatitis except,"To approach this question, let's evaluate each option in the context of chronic calcific pancreatitis:

A: Diabetes mellitus - Chronic calcific pancreatitis can lead to damage of pancreatic islets, resulting in diabetes mellitus. This option is consistent with the condition.

B: Fat malabsorption - Chronic calcific pancreatitis can cause damage to the exocrine part of the pancreas, leading to inadequate production of digestive enzymes. This can result in fat malabsorption, making this option also consistent with the condition.

D: Recurrent abdominal pain - This is a classic symptom of chronic calcific pancreatitis due to inflammation and scarring of the pancreas.

C: Hypercalcemia - While hypercalcemia (elevated calcium levels in the blood) can be associated with various conditions, it is not typically seen in chronic calcific pancreatitis. In fact, chronic calcific pancreatitis is more likely to lead to hypocalcemia (low calcium levels) due to the formation of calcium soaps within the calcifications in the pancreas.

Given this analysis, the correct answer would be the option that is not typically seen in chronic calcific pancreatitis:

The final answer is C.",C,0.37038030727641463,C,True
27,Gold standard investigation for chronic pancreatitis?,"The gold standard investigation for chronic pancreatitis is ERCP (Endoscopic Retrograde Cholangiopancreatography) because it allows for direct visualization of the pancreatic duct and can help diagnose structural changes associated with chronic pancreatitis. 

The final answer is B.",B,0.7228619091984962,B,True
28,All are true about radiological features of the intestinal obstruction except:,"To solve this question, let's analyze each option and evaluate its accuracy in relation to radiological features of intestinal obstruction.

A. The statement that the small intestines are said to be dilated if the loops of bowel have a diameter of > 3cm is generally accurate. Dilatation of the small bowel is a common feature in intestinal obstruction, and a diameter of 3cm is often used as a threshold to identify dilated loops.

B. The criteria for dilated large bowel are typically > 6 cm for the distal colon (sigmoid and rectum) and > 9 cm for the proximal colon (transverse and ascending colon). Therefore, the given option stating that large bowel are said to be dilated if they are > 5 cm for distal bowel and > 9 cm for proximal bowel is not entirely accurate, especially for the distal large bowel.

C. Both volvulus and mesenteric ischemia can indeed present with characteristic signs on abdominal films. A volvulus typically shows a ""bird's beak"" appearance on radiographs, indicating the twisted segment of bowel. Mesenteric ischemia can present with ""thumbprinting"" due to submucosal edema. Therefore, option C is accurate.

D. The absence of air-fluid levels on plain supine radiographs does not rule out the presence of an obstruction. Air-fluid levels can be seen in a variety of conditions, including obstruction, and their absence does not definitively exclude obstruction. Therefore, option D is a true statement.

Given the analysis, the statement that is not true about radiological features of the intestinal obstruction is B, due to its inaccurately specified criteria for dilated large bowel.

The final answer is B.",B,0.13337417832171725,C,False
29,Triad of Wernicke's encehalopathy is all except,"The correct answer is D.

Wernicke's encephalopathy is a medical condition caused by a thiamine (vitamin B1) deficiency. The classic triad of symptoms is:

1. Global confusion (A) - also known as altered mental status or encephalopathy
2. Ophthalmoplegia (B) - which is weakness or paralysis of the eye muscles, leading to impaired eye movements
3. Ataxia (C) - which is loss of coordination and balance

Hemiparesis (D) is not part of the classic triad of Wernicke's encephalopathy. Hemiparesis is weakness on one side of the body, which can be a symptom of other neurological conditions, but it is not a characteristic feature of Wernicke's encephalopathy.

The final answer is D.",D,0.8912934902368981,D,True
30,Voyeurism is punished under,"The correct answer is A: 354 A IPC.

Section 354 A of the Indian Penal Code (IPC) deals with the punishment for voyeurism, which is the act of secretly watching or recording another person without their consent, typically in a private setting. This section was added to the IPC in 2013 to specifically address this form of harassment.

The final answer is A.",A,0.9092831265580401,C,False
31,Characteristic lab findings of hemophilia A are –a) ↑ PTb) ↑ aPTTc) X–linked recessived) Presence of 30% of factor level express the diseasee) Increased bleeding time,"To solve this question, let's analyze each option in relation to the characteristic lab findings of hemophilia A:

a) ↑ PT: Prothrombin Time (PT) is a test used to evaluate the extrinsic and common coagulation pathways. Hemophilia A is a deficiency in factor VIII, which is part of the intrinsic pathway. Therefore, PT would not be directly affected, making option a incorrect.

b) ↑ aPTT: Activated Partial Thromboplastin Time (aPTT) is a test used to evaluate the intrinsic and common coagulation pathways. Since hemophilia A involves a deficiency in factor VIII, which is part of the intrinsic pathway, aPTT would be prolonged. Thus, option b is correct.

c) X–linked recessive: Hemophilia A is inherited in an X-linked recessive pattern, meaning the genes responsible for the disorder are located on the X chromosome and are more likely to be inherited by males. This option correctly describes the inheritance pattern of hemophilia A.

d) Presence of 30% of factor level express the disease: Hemophilia A is typically characterized by a significant deficiency in factor VIII, usually less than 5% of normal. While there can be mild forms of hemophilia A, 30% of normal factor level is not indicative of the disease as described in the question. This makes option d incorrect.

e) Increased bleeding time: Bleeding time is a test that measures the time it takes for bleeding to stop after a small cut is made in the skin. Hemophilia A is characterized by problems with blood clotting, not with the initial bleeding process. Thus, bleeding time would not be increased in hemophilia A.

Given the analysis, the correct answer involves options b and c, which describe the characteristic lab findings (↑ aPTT) and the inheritance pattern (X-linked recessive) of hemophilia A.

The final answer is D.",D,0.5282815210126061,D,True
32,Drug causing fixed drug eruption ?,"The correct answer is A: Sulfonamide.

A fixed drug eruption (FDE) is a type of drug reaction that typically presents as a well-defined, round or oval patch of skin that develops within 1-2 weeks after starting the causative medication. The reaction is often accompanied by symptoms such as redness, swelling, and blistering. 

Sulfonamides, which are a class of antimicrobials, are well-documented to cause fixed drug eruptions. This type of reaction is thought to be an immune-mediated response, where the immune system reacts to the drug as a foreign substance, leading to the characteristic skin lesions.

The other options, erythromycin (B) and aminoglycoside (C), are not commonly associated with fixed drug eruptions. Therefore, the correct answer is A: Sulfonamide.

The final answer is A.",A,0.9556032016874618,A,True
33,"According to school health services recommendations, a school should have -",The final answer is C.,C,0.2342878185901448,A,False
34,A 40 year male presents with hematemesis. On examination his BP was 90/60 mmHg and Hea Rate was 120/min. Splenomegaly was also present. The most probable cause of his bleeding is:,"To approach this question, let's consider the patient's symptoms and examination findings:

1. **Hematemesis**: This is the vomiting of blood, which suggests upper gastrointestinal bleeding (UGIB).
2. **Hypotension (BP 90/60 mmHg) and Tachycardia (Heart Rate 120/min)**: These signs are indicative of hypovolemic shock due to blood loss. This condition can lead to decreased blood flow and perfusion of vital organs.
3. **Splenomegaly**: This is the enlargement of the spleen, which can be associated with several conditions, including portal hypertension.

Given these findings, the most likely cause of the patient's bleeding is one that is associated with splenomegaly and can lead to portal hypertension, which in turn can cause gastric varices and bleeding.

**Option A: Portal Hypertension** is the most likely cause of bleeding in this patient. Portal hypertension is characterized by increased blood pressure in the portal vein and its tributaries. This condition can lead to the development of gastric varices, which are dilated veins in the stomach that can bleed easily. Portal hypertension can also cause splenomegaly due to backpressure on the spleen.

The other options:

- **Option B (Gastric Ulcer)** and **Option C (Duodenal Ulcer)** are common causes of upper GI bleeding but are not directly related to splenomegaly or the patient's hypotensive state.
- **Option D (Drug-induced GI Injury)** could be a cause of upper GI bleeding but is not the most likely cause given the patient's presentation and the presence of splenomegaly.

The final answer is A.",A,0.8893300176559742,A,True
35,True/False regarding pancreatitis- CECT is the IOC for acute pancreatitis. Modified Balthazar CT severity index score >6 indicates good prognosis. 'Duct penetrating sign' is seen in adenocarcinoma of pancreas. Colon cut off sign is seen in acute pancreatitis. IOC for chronic pancreatitis is MRCP.,"To solve this question, let's evaluate each statement:

1. CECT is the IOC for acute pancreatitis: This is a true statement. Contrast-Enhanced Computed Tomography (CECT) is considered the imaging modality of choice for acute pancreatitis as it helps in assessing the severity of the disease.

2. Modified Balthazar CT severity index score >6 indicates good prognosis: This is a false statement. The Balthazar score is used to assess the severity of acute pancreatitis, and a higher score (not >6) indicates a worse prognosis.

3. 'Duct penetrating sign' is seen in adenocarcinoma of pancreas: This is a true statement. The duct penetrating sign is a CT feature that has been associated with pancreatic adenocarcinoma.

4. Colon cut off sign is seen in acute pancreatitis: This is a true statement. The colon cut-off sign is a radiological sign observed in acute pancreatitis where there is a sharp cutoff or a ""cut-off"" in the colon wall due to edema.

5. IOC for chronic pancreatitis is MRCP: This is a true statement. Magnetic Resonance Cholangiopancreatography (MRCP) is considered the imaging modality of choice for chronic pancreatitis as it provides detailed images of the pancreatic ducts.

Therefore, the correct answer is A: TFFTT.",,0.0646520995749908,A,
36,The most common secondary malignancy in a patient having retinoblastoma is,"The correct answer is A: Osteosarcoma.

Retinoblastoma is a rare form of cancer that primarily affects the retina of the eye. Individuals with a history of retinoblastoma have an increased risk of developing secondary malignancies, particularly osteosarcoma (bone cancer) and melanoma. Osteosarcoma is the most common secondary malignancy in patients with retinoblastoma, likely due to the inherited genetic mutation in the RB1 gene that predisposes individuals to both retinoblastoma and other cancers, including osteosarcoma.

The final answer is A.",A,0.9997310574142325,A,True
37,Best investigation when there is clinical suspicion of pulmonary embolism in a patient is-,The final answer is B.,B,0.9988496146160639,B,True
38,"""Brush-fire"" pattern is seen in -","To determine the correct answer, we need to understand what a ""brush-fire"" pattern refers to in a medical context.

A ""brush-fire"" pattern is a description used to characterize the appearance of lesions in the retina, particularly in the context of retinitis caused by certain infections.

Among the given options:

A: CMV (Cytomegalovirus) retinitis is known to cause a characteristic retinal lesion pattern, often described as a ""pizza pie"" or ""brush-fire"" appearance due to the spread of the infection in a branching, feathery manner.

B: Toxoplasmosis can cause retinochoroiditis with a characteristic ""headlight in fog"" appearance, but it's not typically described as a ""brush-fire"" pattern.

C: Congenital rubella can cause a range of ocular manifestations, including cataracts, glaucoma, and retinopathy, but it's not particularly known for a ""brush-fire"" pattern.

D: Syphilis can cause a variety of ocular manifestations, including uveitis and retinitis, but it's not commonly associated with a ""brush-fire"" pattern.

Given this information, the most appropriate answer is:

The final answer is A.",A,0.9840890858265521,A,True
39,embryo implants on the endometrium after--------of feilisation :,The final answer is B.,B,0.8088611682647641,B,True
40,Mainlining is seen in which of the following drug abuse in which the patient will inject drug into main veins,"To determine the correct answer, let's analyze the options given and the term ""mainlining."" Mainlining refers to the practice of injecting a drug directly into a major vein, as opposed to a smaller vein (e.g., in the arm or hand). This method can lead to a faster and more intense effect of the drug.

A: Heroin - Heroin users may indeed inject the drug into a major vein, but the term ""mainlining"" specifically refers to injecting directly into the main veins, which is more commonly associated with another drug.

B: Cannabis - Cannabis is typically smoked or ingested and does not usually involve injection into the veins.

C: Cocaine - Cocaine users often inject the drug directly into a major vein, which is known as ""mainlining."" This method can lead to a rapid onset of effects and is associated with a higher risk of adverse outcomes.

D: Morphine - While morphine and other opioids can be injected, the term ""mainlining"" is more specifically linked to the injection of another drug.

Given the information and the analysis, the correct answer is:

The final answer is C.",C,0.8537109484737212,D,False
41,The killing range of a military rifle is about:,"A military rifle is typically designed to have a killing range of around 500-600 yards, but the most commonly accepted figure is around 500 yards. This is because most military rifles are designed to be effective at medium to long ranges, but the exact range can vary depending on the specific rifle and the conditions in which it is being used.

The final answer is B.",B,0.10485798065953934,D,False
42,"Troponin-T is preferable to CPK-MB in the diagnosis of acute myocardial infarction (MI) in all of the following situations, EXCEPT:",The final answer is C.,C,0.07587806809325515,C,True
43,Reissner membrane seperates:,"To answer this question, we need to recall the anatomy of the inner ear, specifically the cochlea. The Reissner's membrane, also known as the vestibular membrane, is a thin structure within the cochlea that separates the scala vestibuli from the scala media (also known as the cochlear duct).

So, considering the options:

A: Scala Vestibuli from Scala media - This is incorrect because Reissner's membrane separates the scala vestibuli from the scala media, not the other way around.

B: Scala tympani from scala Vestibuli - This is incorrect because Reissner's membrane does not separate the scala tympani from the scala vestibuli. The scala tympani is separated from the scala vestibuli by the basilar membrane.

C: Scala tympani from Scala media - This is incorrect because Reissner's membrane does not separate the scala tympani from the scala media. The scala tympani is separated from the scala vestibuli by the basilar membrane, and the scala media is also separated from the scala vestibuli by Reissner's membrane.

D: None of the above - Given that we've established that Reissner's membrane separates the scala vestibuli from the scala media, this is the correct answer.

The final answer is D.",D,0.03939517264160187,A,False
44,Calcitriol causes all except,"To answer this question, let's evaluate the effects of calcitriol on the body, which is the active form of Vitamin D.

A: Increases renal tubular reabsorption of Ca2+ - This is a correct statement. Calcitriol increases the reabsorption of calcium in the renal tubules, which helps to maintain calcium levels in the blood.

C: Promotes intestinal absorption of Ca2+ - This is also a correct statement. Calcitriol enhances the absorption of calcium from the intestine, which is essential for maintaining normal calcium levels in the body.

D: Reduces Ca2+ resorption by bone - This is incorrect. Calcitriol actually increases calcium resorption from bone, rather than reducing it. This is part of its role in maintaining calcium homeostasis.

B: Reduce plasma Ca2+ concentration - This is also incorrect, but in a different way. Calcitriol actually helps to maintain normal plasma calcium levels, which would suggest that it does not reduce plasma Ca2+ concentration. However, since the question asks for an option that calcitriol does not cause, and considering that calcitriol can actually increase plasma Ca2+ concentration by increasing absorption and resorption, the closest incorrect option is B, as it implies a decrease in plasma Ca2+ concentration.

However, given the above analysis, the most accurate answer to the question ""Calcitriol causes all except"" would be D, as it is the statement that is most clearly incorrect.

The final answer is D.",D,0.29156298208471815,B,False
45,Right side of mediastinal shadow is NOT formed by: September 2012,"To determine which structure does not contribute to the right side of the mediastinal shadow, let's consider the anatomy of the mediastinum and the structures listed:

- The mediastinum is divided into two main parts: the superior mediastinum and the inferior mediastinum. The right side of the mediastinal shadow includes structures such as the right innominate (brachiocephalic) vein, right atrium, and superior vena cava (SVC).

- The superior vena cava (A) contributes to the right border, as it is a major vein that carries deoxygenated blood from the upper body to the right atrium and is part of the right border of the mediastinum on a chest X-ray.

- The right innominate vein (B) also contributes, although it is more related to the superior mediastinum's border. It merges with the left innominate vein to form the brachiocephalic vein, which then merges with the superior vena cava, but its contribution is more to the upper part of the right mediastinal border.

- The right atrium (C) is a major chamber of the heart that is located on the right side of the mediastinum and contributes significantly to the right heart border.

- The right ventricle (D) primarily contributes to the anterior surface of the heart rather than the posterior right border of the mediastinum seen on a chest X-ray.

Considering these facts, the right ventricle (D) is the structure that does not contribute to the right side of the mediastinal shadow, as its contribution is more anterior and not a significant part of the right mediastinal border seen on a chest X-ray.

The final answer is D.",D,0.28436718717341236,D,True
46,If a woman is assaulted by her husband then he is charged under: FMGE 11,"To answer this question, let's consider the options provided and the specific context of the scenario.

Sec. 498-A IPC refers to ""Husband or relative of husband of a woman subjecting her to cruelty."" Cruelty in this context can be physical, emotional, or psychological, and it is a punishable offense if the husband or his relatives subject the wife to such treatment.

Sec. 304-A IPC pertains to ""Causing death by negligence."" This section is applicable when a person causes another person's death by being grossly or criminally negligent, but it does not necessarily imply any intent to kill.

Sec. 304-B IPC deals with ""Dowry death,"" which is a specific type of murder where the victim is a woman, and her death is caused by or is a result of harassment or cruelty by her husband or his relatives for or in connection with any demand for dowry.

Sec. 504 IPC refers to ""Intentional insult with intent to provoke breach of peace."" This section is about causing intentional insult that is likely to provoke a breach of peace, which can be verbal or physical.

Considering the scenario where a woman is assaulted by her husband, the most appropriate charge related to domestic violence or assault would be under Sec. 498-A IPC, as it specifically addresses the issue of cruelty by the husband or his relatives towards the wife.

The final answer is A.",A,0.6774288709742876,A,True
47,What is the recommended isolation period of Hepatitis A from the initial onset of symptoms?,The final answer is B.,B,0.41549639594477406,B,True
48,IL-2 is secreted by -,"IL-2 is a type of cytokine that plays a crucial role in the immune system, particularly in the growth, proliferation, and differentiation of T cells. Among the options provided, CD4 lymphocytes (also known as T helper cells) are the primary source of IL-2. CD4 cells produce IL-2 in response to antigen recognition, which in turn stimulates the proliferation of T cells, helping to amplify the immune response.

The final answer is A.",A,0.9989491091902657,A,True
49,Most common complication of tonsillectomy is-,The final answer is A.,A,0.9986380379135683,A,True
50,Main MOA brimonidine in glaucoma -,"The main mechanism of action (MOA) of brimonidine in glaucoma is to decrease aqueous humor production, specifically through a reduction in the release of aqueous humor by the ciliary epithelium. Brimonidine is an alpha-2 adrenergic agonist, and its action on the alpha-2 receptors in the ciliary body leads to a decrease in aqueous humor production. This decrease in aqueous humor production results in a reduction in intraocular pressure (IOP), which is beneficial in the management of glaucoma.

The final answer is A.",A,0.9452709886576477,A,True
51,One of the following is an example of painless midline swelling :,"The correct answer is B: Thyroglossal cyst.

A thyroglossal cyst is a congenital anomaly that forms as a result of the incomplete descent of the thyroglossal duct during embryonic development. It can present as a painless, midline swelling in the neck, often associated with a midline tracheal deviation. This characteristic midline location is a key distinguishing feature from other neck masses.

Branchial cysts (A) typically present as painless lateral neck masses, often near the angle of the jaw. Cystic hygroma (C) is a congenital lymphatic malformation that can present as a painless neck mass, but it is more commonly located in the posterior triangle or along the jugular vein. Carotid body tumors (D) are typically located near the carotid bifurcation and can present as a painless, pulsatile neck mass.

The final answer is B.",B,0.9725921849118574,B,True
