,question,response,answer,p_true,true_answer,correct
31,Reissner membrane seperates:,"The Reissner's membrane is a thin membrane that separates the scala vestibuli from the scala media within the cochlea of the inner ear. 

The final answer is A. 
",A,0.9999723674803962,A,True
32,Mainlining is seen in which of the following drug abuse in which the patient will inject drug into main veins,"Mainlining refers to injecting a drug directly into a major vein.  

Heroin, cocaine, and morphine are all drugs commonly injected by users. 

**The final answer is A**. 
",A,0.9840727969725594,D,False
33,Voyeurism is punished under,"Voyeurism, which involves secretly observing or recording someone without their consent in a private act, falls under **354 C IPC**  as it deals with  ""voyeurism"".

The final answer is C. 
",C,0.9940544087336491,C,True
34,Right side of mediastinal shadow is NOT formed by: September 2012,"The mediastinum is the area in the chest between the lungs.  

Here's why the correct answer is **B: Right innominate**

* **Superior vena cava (A):**  This large vein carries deoxygenated blood from the upper body to the heart and is located in the mediastinum.
* **Right atrium (C):** This chamber of the heart receives deoxygenated blood from the body and is part of the mediastinal structures.
* **Right ventricle (D):** This chamber of the heart pumps deoxygenated blood to the lungs and is also located in the mediastinum.

* **Right innominate (B):**  The right innominate artery is a major blood vessel that supplies the head, neck, and arm. While it's in the chest, it's not considered part of the classic mediastinal shadow.


The final answer is **B**.",,0.9977724517697976,D,
35,"If you wanted to increase the penetrating quality of the x-ray beam, what machine setting(s) would you change?","The penetrating quality of an x-ray beam is primarily determined by the kilovoltage peak (kVp).  

Here's why:

* **kVp** controls the energy of the x-ray photons. Higher kVp means higher energy photons, which can penetrate thicker tissues.

Let's look at the options:

* **A: Increase exposure time, mA, and kVp:** While kVp increases penetration,  increasing exposure time and mA simply increase the quantity (number) of x-rays produced, not their penetrating power.
* **B: Increase the mA and the kVp:**  Again, kVp increases penetration, but mA only affects the quantity of x-rays.
* **C: Increase the mA:**  Increasing mA only increases the number of x-rays, not their energy.
* **D: Increase the kVp:** This is the correct answer. Increasing kVp directly increases the penetrating quality of the beam. 


The final answer is D. 
",D,0.9999993507171804,D,True
36,Which of the following is not found in DiGeorge's syndrome?,"DiGeorge syndrome, also known as 22q11.2 deletion syndrome, is caused by a deletion on chromosome 22. This deletion affects the development of several body systems, including the immune system. 

Here's why the correct answer is **B: Eczema**:

* **Tetany (A):**  DiGeorge syndrome often leads to hypocalcemia (low calcium levels) due to underdevelopment of the parathyroid glands. This can cause tetany, a condition characterized by muscle spasms and cramps.
* **Mucocutaneous candidiasis (C):**  The immune system deficiency in DiGeorge syndrome makes individuals susceptible to various infections, including fungal infections like candidiasis.
* **Absence of T cells (D):**  A hallmark of DiGeorge syndrome is the absence or underdevelopment of the thymus gland, which is crucial for the maturation of T cells, a vital part of the immune system.

* **Eczema (B):**  Eczema is a skin condition characterized by inflammation, itching, and dryness. While it can occur in individuals with immune deficiencies, it is not a primary characteristic of DiGeorge syndrome.


The final answer is B. 
",B,0.9999426346672812,B,True
37,True/False regarding pancreatitis- CECT is the IOC for acute pancreatitis. Modified Balthazar CT severity index score >6 indicates good prognosis. 'Duct penetrating sign' is seen in adenocarcinoma of pancreas. Colon cut off sign is seen in acute pancreatitis. IOC for chronic pancreatitis is MRCP.,"Let's break down each statement:

1. **CT (CECT) is the IOC for acute pancreatitis.**  This is **True**. CECT (Contrast-enhanced Computed Tomography) is the gold standard for initial diagnosis and severity assessment of acute pancreatitis.

2. **Modified Balthazar CT severity index score >6 indicates good prognosis.** This is **False**. A Modified Balthazar score >6 indicates **severe** acute pancreatitis, associated with a poorer prognosis.

3. **'Duct penetrating sign' is seen in adenocarcinoma of pancreas.** This is **True**.  The duct penetrating sign, where the tumor directly invades the pancreatic duct, is a characteristic finding in pancreatic adenocarcinoma.

4. **Colon cut off sign is seen in acute pancreatitis.** This is **True**. The colon cut-off sign, where the colon appears abruptly truncated due to pancreatic inflammation, is a sign of severe acute pancreatitis.

5. **IOC for chronic pancreatitis is MRCP.** This is **True**. MRCP (Magnetic Resonance Cholangiopancreatography) is the preferred imaging modality for diagnosing and assessing chronic pancreatitis.

Therefore, the correct answer is **C: TFFFF**

The final answer is C.",C,0.9889686048782743,A,False
38,Dapagliflozin inhibits which glucose transpoer?,"Dapagliflozin is a sodium-glucose cotransporter 2 (SGLT2) inhibitor.  

The final answer is C. 
",C,0.9999994674350067,C,True
39,The most common secondary malignancy in a patient having retinoblastoma is,"The most common secondary malignancy in patients with retinoblastoma is **osteosarcoma**.  

Here's why:

* **Retinoblastoma** is a childhood eye cancer linked to a predisposition for other cancers due to inherited genetic mutations. 
* **Osteosarcoma** is a bone cancer that is more prevalent in individuals with a history of retinoblastoma.

The other options are less common secondary malignancies in retinoblastoma patients. 


The final answer is A. 
",A,0.9999119258508211,A,True
40,Model analysis indicated for 2 quadrants:,"The question refers to medical analysis of quadrants, suggesting a measurement or assessment related to body regions. 

* **Hixon-Old father**, **Peck and Peck index**, and **Pont's index** are all established methods used in medical imaging and assessment, particularly in relation to skeletal structures and body proportions.

Therefore, the most comprehensive answer is likely ""D: All of the above"".


The final answer is D 
",D,0.9517606378753966,D,True
41,"According to school health services recommendations, a school should have -","School health services prioritize sanitation and hygiene.  

Considering the need for adequate facilities for a reasonable number of children, option **C: 1 urinal\/ 100 children and 1 privy for 100 children**  seems the most appropriate. 


The final answer is C. 
",C,0.8974632203048232,A,False
42,If a woman is assaulted by her husband then he is charged under: FMGE 11,"Here's the breakdown:

* **FMGE 11** likely refers to the Indian Medical Graduates Examination, which is not directly related to criminal law charges.

Let's look at the IPC (Indian Penal Code) sections:

* **Sec. 498-A IPC:** Deals with cruelty by husband or his relatives. This is the most likely charge in a case of domestic assault.
* **Sec. 304-A IPC:** Deals with causing death by negligence. 
* **Sec. 304-B IPC:** Deals with dowry death.
* **Sec. 504 IPC:** Deals with intentional insult with intent to provoke breach of peace.

**Considering the context of ""assault by her husband,"" the most appropriate charge would be Sec. 498-A IPC.**


The final answer is A. 
",A,0.9997390874307994,A,True
43,Calcitriol causes all except,"Here's the breakdown:

* **Calcitriol** is the active form of Vitamin D. Its primary function is to regulate calcium levels in the body.

Let's analyze each option:

* **A: Increases renal tubular reabsorption of Ca2+** - This is **true**. Calcitriol promotes the reabsorption of calcium from the filtrate back into the bloodstream in the kidneys.
* **B: Reduce plasma Ca2+ concentration** - This is **false**. Calcitriol actually *increases* plasma calcium concentration.
* **C: Promotes intestinal absorption of Ca2+** - This is **true**. Calcitriol enhances the absorption of calcium from the food we eat in the intestines.
* **D: Reduces Ca2+ resorption by bone** - This is **false**. Calcitriol *increases* bone resorption, releasing calcium into the bloodstream.

**The final answer is B** 
",B,0.9998336412607918,B,True
44,The killing range of a military rifle is about:,"The ""killing range"" of a military rifle is a complex term and can vary greatly depending on factors like the specific rifle, ammunition, environmental conditions, and the shooter's skill. 

However, a reasonable estimate for the effective range of a standard-issue military rifle is around **D: 300 yards**. 

While some rifles can theoretically hit targets further, 300 yards is generally considered the distance where a soldier can reliably hit a target with accuracy and lethality.

The final answer is D. 
",D,0.9986548106461505,D,True
45,Chronic lymphoedema of the limb is predisposed to all of the following except,"Here's the reasoning:

* **Chronic lymphoedema** is a condition where lymphatic fluid builds up in the tissues, causing swelling.

Let's analyze each option:

* **A: Thickening of the skin:**  This is a common complication of lymphoedema as the skin becomes stretched and fibrotic due to fluid buildup.
* **B: Recurrent soft tissue infections:** Lymphoedema impairs lymphatic drainage, making the affected area more susceptible to bacterial infections.
* **C: Marjolin's ulcer:** This is a rare type of squamous cell carcinoma that can develop in chronic lymphoedema.
* **D: Sarcoma:**  While lymphoedema can increase the risk of some types of cancer, sarcoma is not a direct and common predisposition of lymphoedema.

**The final answer is D** 


",D,0.9998457985110654,C,False
46,embryo implants on the endometrium after--------of feilisation :,"Embryo implantation typically occurs around 6-10 days after fertilization.  

The final answer is **B**. 
",,0.9991311271817932,B,
47,Gold standard investigation for chronic pancreatitis?,"The gold standard investigation for chronic pancreatitis is **ERCP (Endoscopic Retrograde Cholangiopancreatography)**. 

Here's why:

* **ERCP** allows direct visualization of the pancreatic duct and can identify characteristic findings of chronic pancreatitis, such as strictures, narrowing, calcifications, and pseudocysts. It can also be used to obtain biopsies for confirmation.

Let's look at the other options:

* **MRI (Magnetic Resonance Imaging)** is very helpful in visualizing the pancreas and detecting structural abnormalities, but it's not as definitive as ERCP for diagnosing chronic pancreatitis.
* **Pancreatic function tests** can assess the exocrine function of the pancreas, which is often impaired in chronic pancreatitis. However, they don't provide direct visualization of the ductal system.
* **Fecal fat estimation** is used to assess fat malabsorption, which can be a consequence of chronic pancreatitis. However, it's not specific to chronic pancreatitis and can be elevated in other conditions.


The final answer is B. 
",B,0.9999486390544677,B,True
48,Main MOA brimonidine in glaucoma -,"Brimonidine is an alpha-2 adrenergic agonist.  Its main mechanism of action in glaucoma is to **decrease aqueous secretion** by the ciliary body. 

The final answer is A. 
",A,0.9999161635754784,A,True
49,Theodore Croll 1986 is associated with:,"Theodore Croll is known for his work with microabrasion techniques in dentistry. 

Microabrasion uses a combination of 18% hydrochloric acid and pumice to gently remove superficial defects from teeth. 

The final answer is A.  
",A,0.9998612221039593,A,True
50,"A 56-year-old lady, who is a known case of lung cancer, presents with vomiting, headache and seizures. Investigations reveal serum osmolarity of 265 mosm/L (normal is 285-295 mosm/L) and a serum sodium level of 125 mEq/L (normal value is 136-152 mEq/L). Urine osmolarity is greater than 100 mOsm/L She has normal water intake. Which of the following drugs is useful for this patient?","This patient is presenting with hyponatremia (low sodium levels) and likely Syndrome of Inappropriate Antidiuretic Hormone (SIADH). 

Here's why:

* **Hyponatremia:**  Her serum sodium level is significantly below the normal range.
* **Elevated Urine Osmolarity:**  This indicates her kidneys are concentrating urine, which is a hallmark of SIADH where the body retains too much water.
* **Normal Water Intake:**  This rules out overhydration as the cause of hyponatremia.

SIADH is often associated with lung cancer, and the treatment is aimed at reducing water retention.

* **Tolvaptan (D):** This is a specific vasopressin receptor antagonist. By blocking the action of vasopressin (antidiuretic hormone), tolvaptan reduces water reabsorption in the kidneys, helping to raise sodium levels.

**The final answer is D** 


Let me know if you have any other questions. 
",D,0.9999898824961243,D,True
51,Which of the following is involved in tumor metastasis cascade:-,"Here's the breakdown:

* **Tumor metastasis** is the spread of cancer cells from the primary tumor to other parts of the body.  

Let's look at the options:

* **A: Fibronectin** -  A protein that plays a role in cell adhesion and migration. Cancer cells often upregulate fibronectin to help them move and invade surrounding tissues.
* **B: E-Cadherin** - A protein that helps cells adhere to each other.  Metastatic cells often downregulate E-cadherin, allowing them to break away from the primary tumor.
* **C: Type IV collagenase** - An enzyme that breaks down collagen, a major component of the extracellular matrix.  Tumor cells need to degrade this matrix to invade surrounding tissues and metastasize.
* **D: Tyrosine kinase** -  Enzymes involved in cell signaling pathways. Some tyrosine kinases are involved in promoting cell growth and proliferation, which can contribute to tumor development, but not specifically the metastasis cascade.

**The final answer is C** 


Let me know if you have any other questions!",C,0.9998972409262892,B,False
52,IL-2 is secreted by -,"IL-2 (Interleukin-2) is a key cytokine primarily involved in the activation, proliferation, and differentiation of T cells. 

Of the options provided:

* **CD4 lymphocytes** are the primary producers of IL-2.

Therefore, the correct answer is A. 

The final answer is A. 
",A,0.9999861786171392,A,True
53,Long term administration of glucocorticoids can cause all of the following except:,"Here's the reasoning:

* **Glucocorticoids** are powerful anti-inflammatory drugs.  Long-term use can have significant side effects.

Let's analyze each option:

* **A: Proximal myopathy:** Glucocorticoids can weaken muscles, particularly in the proximal (closer to the body's center) regions. This is a known side effect.
* **B: Hyperkalemia:** Glucocorticoids typically cause *hypokalemia* (low potassium levels), not hyperkalemia (high potassium levels).
* **C: Hypertension:**  Glucocorticoids can increase blood pressure, leading to hypertension.
* **D: Cataract:**  Long-term glucocorticoid use is a risk factor for developing cataracts.

**The final answer is B** 


",B,0.9999886977829415,B,True
54,One of the following is an example of painless midline swelling :,"Here's the reasoning:

* **Thyroglossal cysts** are midline swellings that occur in the neck due to remnants of the embryonic thyroid gland. They are often painless.

Let's look at the other options:

* **Branchial cysts** are usually located on the side of the neck, not midline.
* **Cystic hygromas** are large, fluid-filled masses that can be present at birth. While they can be painless, they are more likely to be associated with pain or discomfort.
* **Carotid body tumors** are usually firm, palpable masses in the neck. They are often associated with pain, particularly when growing large. 


The final answer is **B**. 
",,0.9999170748605286,B,
55,Most common complication of tonsillectomy is-,"The most common complication of tonsillectomy is bleeding (hemorrhage). 

The final answer is A. 
",A,0.9999909282486621,A,True
56,Non-parenteral hepatitis is -,"Hepatitis transmitted through fecal-oral route is called non-parenteral hepatitis.  Hepatitis E is primarily spread through contaminated water and food.  

The final answer is A. 
",A,0.9997955330674535,A,True
57,Association of cognitive learning,"Cognitive learning involves acquiring knowledge, understanding concepts, and developing the ability to apply that knowledge.  

* **Knowledge** is a fundamental component of cognitive learning. 
* **Attitudes** can be influenced by cognitive learning, as understanding and knowledge can shape beliefs and perspectives.
* **Skills** are often developed through cognitive learning, as they require understanding processes and applying knowledge to perform tasks.


The final answer is D. 
",D,0.9999776144233016,A,False
