,question,options,response,answer,p_true,true_answer,correct
455,Causes of restrictive cardiomyopathy are -,"['Amyloid', 'Sarcoidosis', 'Storage disease', 'All of the above']","To approach this question, let's evaluate each option as a potential cause of restrictive cardiomyopathy.

A. Amyloid: Yes, amyloidosis is a well-known cause of restrictive cardiomyopathy. Amyloid deposits can accumulate in the heart muscle, leading to stiffening and restricted heart movement.

B. Sarcoidosis: Yes, sarcoidosis is another cause of restrictive cardiomyopathy. Sarcoidosis is an inflammatory disease that can affect multiple organs, including the heart, where it can cause scarring and stiffening of the heart muscle.

C. Storage disease: Yes, storage diseases, such as Fabry's disease and Hurler's syndrome, can also cause restrictive cardiomyopathy due to the accumulation of abnormal substances within the heart muscle cells.

Given that all options A, B, and C are causes of restrictive cardiomyopathy, the correct answer would encompass all of these options.

The final answer is D.",D,0.9932844095053591,D,True
456,Most dangerous paicles causing pneumoconiosis are of size,"['A. 1-5 micron', 'B. <1 micron', 'C. 5-15 micron', 'D. 10-20 micron']","The most dangerous particles causing pneumoconiosis are those that are small enough to be inhaled deep into the lungs, but large enough to become lodged and cause inflammation. Particles in the 1-5 micron size range are most likely to achieve this, as they can bypass the body's natural defenses and reach the alveoli, where they can cause damage. Larger particles may be filtered out by the upper respiratory tract, while smaller particles may be exhaled or cleared by the body's natural mechanisms.

The final answer is A.",A,0.8634803000810182,A,True
457,Acute appendicitis is best diagnosed by -,"['History', 'Physical examination', 'X-ray abdomen', 'Ba meal']",The final answer is B.,B,0.8171996358528312,B,True
458,A 7 year old male patient presents to the clinic for routine dental examination and has history of frequent snacking and sugary beverages. Intraoral examination shows multiple pit and fissure caries and subsurface enamel porosity manifesting as milky white opacity. Tactile probing should not be used in this case because of all of the following EXCEPT?,"['Insertion  of  the  explorer  into  the  suspected lesion inevitably disrupts the surface layer covering very early lesions, thereby eliminating the possibility for remineralization of the decalcified area', 'Probing of lesions and suspected lesions results in the transport of  cariogenic  bacteria  from  one area  to another', 'Frank lesions requiring restoration are generally apparent visually  without  the  need  for  probing.', 'It may induce spontaneous bleeding']","The correct answer is C. Frank lesions requiring restoration are generally apparent visually without the need for probing.

Tactile probing is not recommended for early caries lesions because it can cause disruption of the surface layer, potentially preventing remineralization (A), and can transport cariogenic bacteria from one area to another (B). However, frank lesions that require restoration are typically visually apparent and do not require probing (C). Probing can also induce spontaneous bleeding, especially in patients with bleeding disorders or those taking anticoagulant medications (D), but this is not the best answer choice in this case.

The final answer is C.",C,0.5883802264189489,D,False
459,Most common organism causing ventilator associated pneumonia -,"['Legionella', 'Pneumococcus', 'Pseudomonas', 'Coagulase negative staphylococcus']","The most common organism causing ventilator-associated pneumonia (VAP) is typically a gram-negative rod. Pseudomonas aeruginosa is one of the most common causes of VAP, especially in patients who have been on mechanical ventilation for an extended period.

The final answer is C.",C,0.9961162477237738,C,True
460,"A preterm baby is born with synchronised upper chest movement, minimal nasal flare, expiratory grunting heard by the stethoscope, but has no chest or xiphoid retractions. The Silverman score is:","['1', '2', '3', '4']","To determine the Silverman score, we need to evaluate the respiratory effort of the preterm baby based on the provided symptoms.

1. Upper chest movement: This is a sign of increased respiratory effort, typically seen in respiratory distress. (1 point)
2. Minimal nasal flare: This is a sign of increased work of breathing, indicating some level of respiratory distress. (1 point)
3. Expiratory grunting: This is a classic sign of respiratory distress in infants, indicating that the baby is trying to stay alveoli open longer to increase oxygenation. (1 point)
4. No chest or xiphoid retractions: This suggests that the baby is not showing signs of significant respiratory effort, as retractions are a common sign of increased work of breathing. (0 points)

The Silverman score ranges from 0 to 8, with higher scores indicating more severe respiratory distress. The maximum points for the given symptoms are 3 (1 for upper chest movement, 1 for nasal flare, and 1 for expiratory grunting). Since there are no retractions, the baby scores 0 for that category.

The final answer is C.",C,0.04525261877097213,B,False
461,The following is the least useful investigation in multiple myeloma :,"['ESR', 'X-Ray', 'Bone scan', 'Bone marrow biopsy']","In multiple myeloma, the least useful investigation would be the Bone scan (C). This is because multiple myeloma is a plasma cell dyscrasia that primarily affects the bone marrow, leading to bone lesions, but the bone scan, which uses technetium-99m diphosphonates, is less sensitive for detecting these lesions compared to other modalities.

The final answer is C.",C,0.5944079024042701,C,True
462,Bidextrous grip is seen at what age?,"['4 months', '5 months', '6 months', '7 months']","A bidextrous grip is a milestone in infant development, indicating the ability to hold a toy or object with both hands simultaneously. Typically, this skill is achieved around 4-5 months of age, but it's usually solidified by 4 months.

The final answer is A.",A,0.8678489070053315,A,True
463,A patient presented with ahritis and purpura. Laboratory examination showed monoclonal and polyclonal cryoglobulins. Histopathology showed deposits of cryoglobulins around the vessels. The patient should be tested for which of the following ?,"['HBV', 'HCV', 'EBV', 'Parvovious']","Based on the symptoms and laboratory findings presented, the patient is likely suffering from cryoglobulinemia, a condition characterized by the presence of abnormal proteins (cryoglobulins) in the blood that can cause inflammation and damage to blood vessels. This condition is often associated with chronic infections, particularly hepatitis C virus (HCV) infection, which is known to trigger the production of cryoglobulins.

The presence of monoclonal and polyclonal cryoglobulins, along with deposits of cryoglobulins around the vessels as seen in histopathology, suggests a systemic vasculitis, a condition that can be triggered by chronic infections. Given the options provided:

A. HBV (Hepatitis B virus) can also be associated with cryoglobulinemia, but HCV is more commonly linked to this condition.

B. HCV (Hepatitis C virus) is the most common cause of mixed cryoglobulinemia, a condition characterized by the presence of both monoclonal and polyclonal cryoglobulins.

C. EBV (Epstein-Barr virus) is associated with various conditions, including lymphomas and autoimmune diseases, but it is less commonly linked to cryoglobulinemia compared to HCV.

D. Parvovirus is associated with erythema infectiosum and can affect the hematopoietic system, but it is not typically linked to cryoglobulinemia or vasculitis.

Therefore, the best test for this patient would be for HCV, given its strong association with mixed cryoglobulinemia and the symptoms described.

The final answer is B.",B,0.9823272488715371,B,True
464,Ulipristal acetate is a/an:,"['GnRH agonist', 'Androgen antagonist', 'Selective estrogen receptor modulator', 'Selective progesterone receptor modulator']","To answer this question, we need to identify the correct classification of Ulipristal acetate.

Ulipristal acetate is a medication that is primarily used for emergency contraception and the treatment of uterine fibroids. It works by blocking the action of the hormone progesterone, which is essential for maintaining pregnancy and regulating the menstrual cycle. By blocking progesterone receptors, ulipristal acetate prevents implantation of a fertilized egg in the uterus, effectively preventing pregnancy.

Considering the options:

A. GnRH agonist: GnRH agonists work by stimulating the release of gonadotropin-releasing hormone (GnRH), which in turn stimulates the release of luteinizing hormone (LH) and follicle-stimulating hormone (FSH) from the pituitary gland. This leads to a decrease in sex hormone production. Ulipristal acetate does not work in this way.

B. Androgen antagonist: Androgen antagonists block the action of androgens (male sex hormones) in the body. Ulipristal acetate does not work by blocking androgens.

C. Selective estrogen receptor modulator (SERM): SERMs are a class of drugs that act as estrogen receptor antagonists or agonists in various tissues of the body. While ulipristal acetate affects hormone action, it does so specifically by modulating progesterone receptors, not estrogen receptors.

D. Selective progesterone receptor modulator (SPRM): SPRMs are a class of drugs that act by selectively modulating the progesterone receptor. They can act as antagonists or agonists in different tissues, which is exactly how ulipristal acetate works.

The final answer is D.",D,0.9959748497554498,D,True
465,"In a subclan aery block at outer border of 1st rib, all of the following aeries help in maintaining the circulation to upper limb, EXCEPT?","['Subscapular aery', 'Superior thoracic aery', 'Thyrocervical trunk', 'Suprascapular aery']","To answer this question, let's analyze the options given and the context of a subclavian artery block at the outer border of the 1st rib.

The subclavian artery is responsible for supplying blood to the upper limb. In the event of a blockage at the outer border of the 1st rib, collateral circulation pathways become crucial for maintaining blood flow to the upper limb. These pathways typically involve branches of the thyrocervical trunk, the costocervical trunk, and the internal thoracic artery, which in turn supply the subclavian artery through branches like the superior thoracic artery, the suprascapular artery, and the thoracoacromial artery (which can also arise from the axillary artery but originates from branches of the subclavian artery in the case of a block).

A. Subscapular artery: This artery is not a primary collateral pathway in the event of a subclavian artery block. It arises from the axillary artery and is not directly involved in the collateral circulation that would maintain blood flow to the upper limb in the face of a subclavian block.

B. Superior thoracic artery: This is a branch of the axillary artery but can also arise from the subclavian artery. It is involved in the collateral circulation to the upper limb.

C. Thyrocervical trunk: This is a branch of the subclavian artery, and its branches (including the inferior thyroid artery, suprascapular artery, and transverse cervical artery) are involved in the collateral circulation to the upper limb in case of a block.

D. Suprascapular artery: This is a branch of the thyrocervical trunk (which itself is a branch of the subclavian artery), and it plays a role in the collateral circulation to the upper limb.

Given this analysis, the correct answer is the one that does not contribute to the collateral circulation in the event of a subclavian artery block.

The final answer is A.",A,0.22567307017515698,B,False
466,"For Status epilepticus, treatment of choice is: September 2012","['Ethosuximide', 'Sodium valproate', 'Lamotrigine', 'Lorazepam']","For status epilepticus, the treatment of choice is typically a benzodiazepine, which is used to rapidly terminate the seizure activity. Among the options provided, Lorazepam (D) is a benzodiazepine and is commonly used in this situation due to its efficacy and relatively long duration of action compared to other benzodiazepines like diazepam.

The final answer is D.",D,0.9980097310818359,D,True
467,"A tumor has the following characteristic retrobulbar location within the muscle cone, well defined capsule, presents with slowly progressive proptosis, easily resectable, occurs most commonly in the 2nd to 4th decade. Most likely diagnosis is -","['Capillary hemangioma', 'Cavernous hemangioma', 'Lymhangioma', 'Hemangiopericytome']","Based on the description, the tumor is retrobulbar, well-defined, and easily resectable, with a slow progression of proptosis. The age group (2nd to 4th decade) and the characteristics of the tumor also match. 

The most likely diagnosis is a cavernous hemangioma. This tumor typically presents with these characteristics, and it is the most common benign orbital tumor in adults.

The final answer is B.",B,0.976591352826906,B,True
468,Yoke muscle pair is,"['Rt LR and Rt MR', 'Rt so and Lt Io', 'Rt LR and Lt MR', 'All the above']","To determine the correct answer, we need to understand what a yoke muscle pair is.

A yoke muscle pair is a pair of eye muscles that work together to move both eyes in the same direction. In other words, when one eye muscle contracts, its ""yoke"" partner in the other eye also contracts, allowing both eyes to move together as a unit. This helps maintain binocular vision and depth perception.

Let's examine the options:

A. Rt LR and Rt MR: This pair involves the lateral rectus (LR) and medial rectus (MR) muscles in the right eye. However, the LR muscle is responsible for abduction (moving the eye outward), while the MR muscle is responsible for adduction (moving the eye inward). They do not work together to move the eye in the same direction.

B. Rt SR and Lt IR: This pair involves the superior rectus (SR) and inferior rectus (IR) muscles, but it does not specify their relationship to each other or to the movement of the eyes.

C. Rt LR and Lt MR: This pair involves the lateral rectus (LR) muscle in the right eye and the medial rectus (MR) muscle in the left eye. When the LR muscle contracts, the MR muscle contracts as its ""yoke"" partner, allowing the eyes to move outward (abduction) together.

D. All the above: Since not all the pairs listed in options A-D are correct yoke muscle pairs, this option cannot be correct.

The final answer is C.",C,0.26351387791047914,C,True
469,Sacro-Iliac joint involvement is common in which condition?,"['Ankylosing spondylitis', 'Rheumatoid arthritis', ""Reiter's syndrome"", 'Osteoarthritis']",The final answer is A.,A,0.9954985042416706,A,True
470,HIV can -,"['Cross blood brain barrier', 'RNA virus', 'Inhibited by 0.3% H2O2', 'Thermostable']","To answer this question, let's analyze each option:

A. Cross blood brain barrier: HIV (Human Immunodeficiency Virus) is known to affect the central nervous system, and it can indeed cross the blood-brain barrier, leading to neurological complications such as AIDS dementia complex. This option is accurate.

B. RNA virus: HIV is a retrovirus, which is a type of RNA virus. However, this option doesn't specifically address what HIV can do, just what it is. This option is true but doesn't answer the question directly.

C. Inhibited by 0.3% H2O2: Hydrogen peroxide (H2O2) is not typically known for inhibiting HIV directly. While it has antimicrobial properties, it's not a standard treatment for HIV.

D. Thermostable: HIV is sensitive to heat and can be inactivated by temperatures above 60°C (140°F). Therefore, this option is incorrect as HIV is not thermostable.

Given the options, the most relevant answer that describes what HIV can do is A, as it directly addresses a capability or effect of the virus.

The final answer is A.",A,0.8266643332368889,A,True
471,A victim of Tsunami has difficulty in overcoming the experience. She still recollects the happening in dreams and thoughts. The most likely diagnosis is,"['Post traumatic stress disorder', 'Conversion disorder', 'Panic disorder', 'Phobia']","Given the scenario, the victim is experiencing distressing memories and recollections of the traumatic event, which is a classic symptom of a specific mental health condition. 

The correct answer is A. Post-traumatic stress disorder (PTSD) is a mental health condition that's triggered by a terrifying event, either experiencing it or witnessing it. Symptoms may include flashbacks, nightmares, and severe anxiety, as well as uncontrollable thoughts about the event. This matches the description provided, where the victim has difficulty overcoming the experience and still recollects the event in dreams and thoughts.

The final answer is A.",A,0.9996183771741186,A,True
472,Tonic neck relfex is lost in lesion of -,"['Cerebral coex', 'Midbrain', 'Medulla', 'Spinal cord']","The Tonic Neck Reflex (TNR) is a reflex that involves the neck and arm muscles, and it is controlled by the brainstem. Specifically, it is mediated by the vestibulospinal tract, which originates from the lateral vestibular nucleus in the medulla oblongata (part of the brainstem).

Therefore, the correct answer is C. Medulla.

The final answer is C.",C,0.3570828581207778,C,True
473,index finger infection spreads to -,"['Thenar space', 'Mid palmar space', 'Hypothenar space', 'Flexion space']","To answer this question, let's consider the anatomy of the hand and the common pathways of infection spread.

The index finger is located in the radial (thumb) side of the hand. The thenar space is located on the radial side of the hand and is the potential space between the thenar muscles (thumb muscles) and the skin. Given the proximity of the index finger to the thenar muscles, an infection in the index finger is likely to spread to the thenar space.

The mid palmar space is located on the palmar surface of the hand, but it is more associated with infection spread from the middle finger. The hypothenar space is located on the ulnar (little finger) side of the hand, which is opposite to the index finger. The flexion space is not a commonly described space in relation to hand infections.

Therefore, the correct answer is:

The final answer is A.",A,0.7934055962434854,A,True
474,"3-year-old child comes in ER with Hv'o vomiting, loose watery motion for 3 days, on examination, the child was drowsy, sunken eye. Hypothermia and skin pinch take time to revert back, diagnosis","['No dehydration', 'Mild dehydration', 'Some dehydration', 'Severe dehydration']","To determine the correct answer, let's analyze the symptoms presented:

1. **Hv'o vomiting**: This might be a typo for ""vomiting"", which is a symptom of dehydration.
2. **Loose watery motion for 3 days**: This indicates diarrhea, a common cause of dehydration, especially in children.
3. **Drowsy**: This is a significant sign of dehydration, as it can lead to reduced consciousness due to electrolyte imbalances.
4. **Sunken eyes**: A classic sign of dehydration, indicating fluid loss.
5. **Hypothermia**: This suggests that the body's core temperature is lower than normal, which can occur with severe dehydration due to decreased blood volume and reduced peripheral circulation.
6. **Skin pinch takes time to revert back**: This is known as skin elasticity or turgor, which is decreased in dehydration, as the skin takes longer to snap back into place after being pinched.

Given these symptoms, we can categorize the dehydration level:

- **Mild dehydration** is characterized by mild thirst, decreased urine output, and minimal weight loss. This does not match the child's presentation.
- **Some dehydration** typically involves noticeable thirst, slightly decreased urine output, and a slight decrease in skin turgor. Again, the child's symptoms are more severe than this.
- **Severe dehydration** presents with significant vomiting, diarrhea, marked thirst, decreased urine output or even no urine output, sunken eyes, and decreased skin turgor. The child's symptoms (drowsiness, hypothermia, and delayed skin pinch return) align with this category.
- **No dehydration** is clearly not the correct answer given the child's symptoms.

The final answer is D.",D,0.8840579225558997,D,True
475,Most common cause of hirsutism in a teenage girl:,"['Ovarian disease', 'Pheochromocytoma', 'Obesity', 'Adrenogenital syndrome']",The final answer is A.,A,0.8547140259310624,A,True
476,An adult male sustained accidental burns and died 1 hour later. Which of the following enzymes will be increased in the burn area?,"['ATPase', 'Aminopeptidase', 'Acid phosphatase', 'Alkaline phosphatase']","In the case of accidental burns, the body's response involves inflammation and the activation of various enzymes to break down tissue. Among the options, Aminopeptidase (B) is the enzyme that is increased in the burn area.

Aminopeptidase is a metalloprotease enzyme that breaks down proteins into amino acids. In the context of burns, this enzyme helps to break down the proteins in damaged tissue, contributing to the degradative process.

The final answer is B.",B,0.10102995566780296,A,False
477,Name of mumps vaccine is,"['Jeryl Lynn', 'Edmonshon Zagreb', 'Schwatz', 'Moraten']","The correct answer is A. Jeryl Lynn.

The Jeryl Lynn strain of the mumps vaccine is a live, attenuated vaccine that is derived from a strain of mumps virus isolated from the daughter of Dr. Maurice Hilleman, who developed the vaccine in the 1960s. It is the most widely used vaccine for mumps and is known for its high efficacy and safety profile.

The other options are not correct because:
- Edmonston Zagreb is a type of measles vaccine.
- Schwatz is not a known vaccine strain.
- Moraten is a type of measles vaccine, specifically a live, attenuated vaccine.

The final answer is A.",A,0.8858454725211617,A,True
478,Which of the following does not cause Insulin release-,"['Rosiglitazone', 'Nateglinide', 'Glimipiride', 'Tobutamide']","To answer this question, we need to understand how each of the listed medications affects insulin release.

A. Rosiglitazone is a thiazolidinedione (TZD) that works by activating peroxisome proliferator-activated receptor-gamma (PPAR-γ) in the nucleus of cells. It increases insulin sensitivity but does not directly stimulate insulin release.

B. Nateglinide is a meglitinide that stimulates insulin release by closing potassium channels in the beta cells of the pancreas, causing them to depolarize and release insulin.

C. Glimipiride (also known as glimepiride) is a sulfonylurea that also works by stimulating insulin release from the beta cells of the pancreas. It does this by binding to the SUR1 (sulfonylurea receptor 1) subunit of the ATP-sensitive potassium channel in the beta cells, which leads to closure of the potassium channels, depolarization of the beta cells, and subsequent insulin release.

D. Tolbutamide is another sulfonylurea that stimulates insulin release by the same mechanism as glimepiride (via the ATP-sensitive potassium channel on beta cells).

Considering the mechanism of action for each of these drugs, Rosiglitazone is the one that does not cause insulin release; it increases insulin sensitivity but does not directly stimulate insulin secretion.

The final answer is A.",A,0.31011572430335005,A,True
479,All are subjective tests for audiometry except:,"['Tone decay', 'Impedance audiometry', 'Speech audiometry', 'Pure tone audiometry']","To determine the correct answer, let's analyze each option:

A. Tone decay test: This is a subjective test where the patient is asked to indicate when a tone is still audible after a prolonged duration. Therefore, it's subjective.

B. Impedance audiometry: This test is used to assess the middle ear function and involves the measurement of reflexes, such as the acoustic reflex. It's a objective test, as it doesn't rely on the patient's subjective response.

C. Speech audiometry: This test involves the evaluation of speech recognition and speech reception thresholds, which require the patient's subjective response. Therefore, it's subjective.

D. Pure tone audiometry: This test involves the measurement of an individual's hearing sensitivity to tones of different frequencies and intensities. It requires the patient's subjective response, as they must indicate when they hear the tone.

Given the above explanations, the correct answer is the option that stands out as being an objective test, which is:

The final answer is B.",B,0.15539405400216258,B,True
480,prophylaxis for Pneumocystis carinii is indicated in HIV positive patents When CD4 count is-,"['<300 cells/mm3', '< 200 cells / mm3', '< 100 cells/mm3', '< 50 cells / mm3']","To determine the correct answer, let's consider the guidelines for prophylaxis against Pneumocystis jirovecii pneumonia (PCP), which was previously known as Pneumocystis carinii. The recommendation for prophylaxis in HIV-positive individuals is typically based on their CD4 cell count.

According to various clinical guidelines, including those from the Centers for Disease Control and Prevention (CDC) and the Infectious Diseases Society of America (IDSA), prophylaxis against PCP is generally recommended for HIV-infected individuals with a CD4 count below 200 cells/mm^3.

While some guidelines may suggest starting prophylaxis at a CD4 count of 200-250 cells/mm^3 in certain situations, the most universally accepted threshold for initiating PCP prophylaxis is a CD4 count of less than 200 cells/mm^3.

Options A, C, and D suggest CD4 counts below 300, 100, and 50 cells/mm^3, respectively. While these counts do indicate a higher risk of opportunistic infections, they are not the standard threshold for initiating PCP prophylaxis.

Therefore, the correct answer is:

The final answer is B.",B,0.3908056387543518,B,True
481,All are clinical features of chalcosis except,"['Kayser - Fleischer ring', 'Sun - flower cataract', 'Deposition of golden plaques at the posterior pole', ""Dalen- fuch's nodules.""]","To solve this question, let's analyze each option in relation to chalcosis, which is a condition resulting from the deposition of copper in the tissues of the eye, often due to the wearing of copper-containing contact lenses or intraocular foreign bodies.

A. Kayser-Fleischer ring: This is a clinical feature of chalcosis, where copper deposits accumulate in the Descemet's membrane of the cornea, forming a golden ring at the limbus.

B. Sunflower cataract: This type of cataract is indeed associated with chalcosis, where copper deposits accumulate in the lens, causing a characteristic sunflower-shaped opacity.

C. Deposition of golden plaques at the posterior pole: This is also a feature of chalcosis, where copper deposits can accumulate in the retina, particularly at the posterior pole.

D. Dalen-Fuchs nodules: These nodules are actually associated with sympathetic ophthalmia, not chalcosis. They are collections of inflammatory cells between the retinal pigment epithelium and Bruch's membrane.

Therefore, the correct answer is the option that is not a feature of chalcosis:

The final answer is D.",D,0.37689899160239276,D,True
482,Which of the following is not a cause of glomerular proteinuria?,"['Diabetes Mellitus', 'Amyloidosis', 'Multiple myeloma', 'Nil Lesion']","To answer this question, let's go through each option and its relationship to glomerular proteinuria.

Glomerular proteinuria is characterized by the presence of protein in the urine due to damage to the glomeruli, which are the filtering units of the kidneys. This condition is often associated with diseases that affect the glomeruli directly.

A. Diabetes Mellitus: Diabetes is a well-known cause of glomerular proteinuria. The high blood sugar levels associated with diabetes can damage the glomeruli over time, leading to protein leakage into the urine. So, this option is indeed a cause of glomerular proteinuria.

B. Amyloidosis: Amyloidosis, a condition characterized by the deposition of abnormal proteins (amyloid) in various tissues, including the kidneys, can cause glomerular damage and proteinuria. Thus, amyloidosis is also a cause of glomerular proteinuria.

C. Multiple Myeloma: This is a type of blood cancer that can lead to kidney damage and proteinuria. However, the primary cause of proteinuria in multiple myeloma is not glomerular but rather tubular, as the excessive light chains produced by the cancer cells can cause tubular damage and protein leakage. So, multiple myeloma is not typically a cause of glomerular proteinuria.

D. Nil Lesion: A ""nil lesion"" is a term that might be used in the context of kidney biopsy to describe a normal or essentially normal appearance of the glomeruli. Therefore, a nil lesion could be considered a cause of glomerular proteinuria in the sense that if the glomeruli are otherwise normal, the proteinuria is not due to glomerular damage.

Considering the options, the best answer is C, as multiple myeloma is not a primary cause of glomerular proteinuria.

The final answer is C.",C,0.296887264946609,C,True
483,The mesial surface of the crown is almost parallel to long axis and the root of a:,"['Maxillary 1st premolar', 'Mandibular 2nd Premolar', 'Maxillary canine', 'Mandibular canine']","To determine the correct answer, let's consider the characteristics of each tooth mentioned:

A. Maxillary 1st premolar: The mesial surface of the crown is often more oblique and not parallel to the long axis.

B. Mandibular 2nd Premolar: This tooth has a distinctive characteristic, the mesial surface of the crown is indeed almost parallel to the long axis, which is a key feature of this tooth.

C. Maxillary canine: The mesial surface of the crown is usually more oblique and angled.

D. Mandibular canine: The mesial surface of the crown is also more oblique and angled.

Based on the description given, the correct answer is the tooth where the mesial surface of the crown is almost parallel to the long axis, which is a distinctive characteristic of the Mandibular 2nd Premolar.

The final answer is B.",B,0.5188523940204822,D,False
484,Superior suprarenal aery originates from:,"['Abdominal aoa', 'Renal aery', 'Inferior phrenic aery', 'Splenic aery']","The superior suprarenal artery typically originates from the inferior phrenic artery. This artery provides blood supply to the superior part of the adrenal gland. 

The final answer is C.",C,0.8549367298062621,C,True
485,Bloom Richardson grading -,"['Carcinoma breast', 'Carcinoma lung', 'Carcinoma prostate', 'Cercinoma ovary']","The Bloom Richardson grading system is used to classify the histological grade of breast cancer, specifically invasive carcinomas of the breast. It assesses the aggressiveness of the tumor based on the glandular differentiation and mitotic activity.

The final answer is A.",A,0.9998944878947962,A,True
486,"A 2-week-old baby is irritable and feeding poorly. On physical examination, the infant is irritable, diaphoretic, tachypneic and tachycardic. There is circumoral cyanosis, which is not alleted by nasal oxygen. A systolic thrill and holosystolic murmur are heard along the left sternal border. An echocardiogram reveals a hea defect in which the aoa and pulmonary aery form a single vessel that overrides a ventricular septal defect. What is the appropriate diagnosis?","['Atrial septal defect', 'Coarctation of aoa, preductal', 'Patent ductus aeriosus', 'Truncus aeriosus']","To determine the correct diagnosis, let's analyze the provided information and options:

1. The baby is irritable, diaphoretic, tachypneic, and tachycardic, indicating a severe cardiac condition.
2. Circumoral cyanosis not alleviated by nasal oxygen suggests a right-to-left shunt or a condition where the lungs are not adequately oxygenating the blood.
3. A systolic thrill and holosystolic murmur along the left sternal border indicate a significant cardiac abnormality.
4. The echocardiogram reveals a heart defect where the aorta and pulmonary artery form a single vessel overriding a ventricular septal defect (VSD).

Let's evaluate the options:

A. Atrial septal defect (ASD): Typically presents with a left-to-right shunt, not typically associated with cyanosis or the echocardiogram findings described.

B. Coarctation of the aorta, preductal: Involves narrowing of the aorta before the ductus arteriosus, which would not typically present with a single vessel overriding a VSD.

C. Patent ductus arteriosus: A condition where the ductus arteriosus fails to close after birth, but it does not match the echocardiogram findings described.

D. Truncus arteriosus: A congenital heart defect where a single blood vessel comes out of the heart, instead of the usual two separate vessels (the aorta and pulmonary artery), and overrides a VSD. This matches the echocardiogram findings described.

The final answer is D.",D,0.9973033921288066,D,True
487,The diameter of Tricuspid orifice is,"['2cm', '2.5cm', '3cm', '4cm']","To answer this question, we need to consider the normal anatomical dimensions of the heart. The tricuspid valve is one of the four heart valves, and its orifice diameter is relatively consistent in adults.

A normal adult tricuspid orifice diameter is typically around 2.5-3.5 cm. Considering the options provided:

A. 2cm is slightly below the lower end of the normal range.
B. 2.5cm falls within the normal range.
C. 3cm is also within the normal range.
D. 4cm is above the upper end of the normal range.

Given the options, the most accurate answer would be:

The final answer is B.",B,0.6602564149087078,D,False
488,More than 90% patients of CREST syndrome with the limited cutaneous form of this disorder make which of the following autoantibodies?,"['Anti-centromere', 'Anti-DNA topoisomerase l', 'Anti-double-stranded DNA', 'Anti-Golgi']","To answer this question, let's break down the options and the characteristics of CREST syndrome.

CREST syndrome is a subtype of limited systemic scleroderma (also known as limited systemic sclerosis). It is characterized by the presence of the following four features:

1. **C**alcinosis (calcium deposits under the skin)
2. **R**aynaud's phenomenon (discoloration of fingers and toes in response to cold or stress)
3. **E**sophageal dysmotility (difficulty swallowing due to abnormal movement of the esophagus)
4. **S**clerodactyly (tightening of the skin over the fingers, leading to claw-like fingers)
5. **T**elangiectasia (dilated blood vessels on the skin)

Limited systemic scleroderma is associated with specific autoantibodies. The autoantibody most commonly found in patients with limited systemic scleroderma, including those with CREST syndrome, is anti-centromere antibody. This autoantibody targets the centromeres of chromosomes and is found in approximately 70-90% of patients with limited systemic scleroderma.

The final answer is A.",A,0.9981858271744514,A,True
489,"A 59-year-old male is found to have a 3.5-cm mass in the right upper lobe of his lung. A biopsy of this mass is diagnosed as a moderately differentiated squamous cell carcinoma. Workup reveals that no bone metastases are present, but laboratory examination reveals that the man's serum calcium levels are 11.5 mg/dL. This patient's paraneoplastic syndrome is most likely the result of ectopic production of","['Parathyroid hormone', 'Calcitonin', 'Parathyroid hormone-related peptide', 'Calcitonin-related peptide']","The patient's elevated serum calcium levels are likely due to a paraneoplastic syndrome associated with the squamous cell carcinoma. Parathyroid hormone (PTH) is typically produced by the parathyroid glands, but in this case, it's likely being ectopically produced by the tumor. This ectopic production of PTH would lead to increased calcium levels, as PTH stimulates calcium release from bones and increases calcium absorption in the gut.

The correct answer is A. Parathyroid hormone.

The final answer is A.",A,0.043333992484066136,C,False
490,Alcohol dependence is seen which of the following phase,"['Oral', 'Phallic', 'Anal', 'Latency']","The correct answer is A. Oral.

In the context of psychoanalytic theory, the oral stage is the first stage of psychosocial development, which occurs from birth to about 18 months. During this stage, the primary source of pleasure and gratification is sucking and feeding. According to Sigmund Freud, individuals who are unable to resolve the conflicts of this stage may develop an oral fixation, which can manifest as a dependence on substances like alcohol.

The other options are not related to the oral stage:

* B. Phallic: Refers to the phallic stage, which occurs from about 3 to 6 years of age, where the primary source of pleasure is the genital area.
* C. Anal: Refers to the anal stage, which occurs from about 1.5 to 3 years of age, where the primary source of pleasure is the anal region.
* D. Latency: Refers to the latency stage, which occurs from about 6 years of age to puberty, where the primary source of pleasure is suppressed and focused on social and intellectual activities.

The final answer is A.",A,0.2705781540598858,A,True
491,"Crossing over, true is;","['Occurs during diplotene stage', 'Between non sister chromatids of homologous chromosomes', 'Between sister chromatids of homologous chromosomes', 'Between non homologous chromosomes sister chromatids']","The correct answer is B. 

Crossing over is a process that occurs during meiosis, specifically during the pachytene stage of prophase I, not the diplotene stage (A). It involves the exchange of genetic material between non-sister chromatids of homologous chromosomes, allowing for genetic recombination and increasing genetic diversity. This occurs between non-sister chromatids of homologous chromosomes (B), not between sister chromatids (C) or non-homologous chromosomes (D). 

The final answer is B.",B,0.40070901537605047,B,True
492,Alzheimer's disease is associated with: September 2012,"['Delerium', 'Delusion', 'Dementia', 'All of the above']",The final answer is C.,C,0.9761284775779965,C,True
